smooth_h,smooth_b,dist_max_h,dist_max_l,trades,pf,wr,equity,max_dd
4,5,125,75,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,125,125,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,125,175,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,125,225,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,125,275,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,175,75,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,175,125,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,175,175,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,175,225,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,175,275,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,225,75,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,225,125,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,225,175,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,225,225,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,225,275,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,275,75,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,275,125,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,275,175,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,275,225,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
4,5,275,275,2193,1.1656772029251032,0.4778841769265846,5692.991334163767,1278.6473639076812
5,3,75,75,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,75,125,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,75,175,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,75,225,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,75,275,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,125,75,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,125,125,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,125,175,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,125,225,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,125,275,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,175,75,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,175,125,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,175,175,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,175,225,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,175,275,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,225,75,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,225,125,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,225,175,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,225,225,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,225,275,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,275,75,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,275,125,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,275,175,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,275,225,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
5,3,275,275,2339,1.164697599802093,0.4886703719538264,6032.080269345772,1837.3832385512906
4,3,75,75,2508,1.153488598141867,0.47767145135566186,5987.376648437597,2217.596569166255
4,3,75,125,2508,1.153488598141867,0.47767145135566186,5987.376648437597,2217.596569166255
4,3,75,175,2508,1.153488598141867,0.47767145135566186,5987.376648437597,2217.596569166255
4,3,75,225,2508,1.153488598141867,0.47767145135566186,5987.376648437597,2217.596569166255
4,3,75,275,2508,1.153488598141867,0.47767145135566186,5987.376648437597,2217.596569166255
