trade_id,side,signal_bar_ts,entry_bar_ts,entry_day_of_week,entry_hour_utc,entry_price,initial_stop,exit_bar_ts,exit_day_of_week,exit_hour_utc,exit_price,exit_reason,pnl_points,risk_points,rr_multiple,bars_in_trade
53,short,2026-03-13T12:40:00Z,2026-03-13T12:45:00Z,Friday,12,24659.25,24663.5,2026-03-13T12:45:00Z,Friday,12,24663.5,stop,-4.25,4.25,-1.0,1
54,short,2026-03-16T04:20:00Z,2026-03-16T04:25:00Z,Monday,4,24534.75,24544.5,2026-03-16T05:45:00Z,Monday,5,24544.5,stop,-9.75,9.75,-1.0,17
55,short,2026-03-16T07:05:00Z,2026-03-16T07:10:00Z,Monday,7,24557.75,24577.0,2026-03-16T09:10:00Z,Monday,9,24525.0,opposite_signal,32.75,19.25,1.7012987012987013,25
56,short,2026-03-17T11:35:00Z,2026-03-17T11:40:00Z,Tuesday,11,24848.5,24855.75,2026-03-17T11:40:00Z,Tuesday,11,24855.75,stop,-7.25,7.25,-1.0,1
57,short,2026-03-17T13:50:00Z,2026-03-17T13:55:00Z,Tuesday,13,25104.25,25114.25,2026-03-17T16:15:00Z,Tuesday,16,25018.5,opposite_signal,85.75,10.0,8.575,29
58,short,2026-03-17T16:55:00Z,2026-03-17T17:00:00Z,Tuesday,17,24995.75,25017.0,2026-03-17T17:00:00Z,Tuesday,17,25017.0,stop,-21.25,21.25,-1.0,1
59,long,2026-03-17T17:50:00Z,2026-03-17T17:55:00Z,Tuesday,17,25038.75,25001.25,2026-03-17T18:25:00Z,Tuesday,18,25001.25,stop,-37.5,37.5,-1.0,7
60,long,2026-03-17T19:10:00Z,2026-03-17T19:15:00Z,Tuesday,19,25004.75,24997.25,2026-03-17T19:25:00Z,Tuesday,19,25006.75,opposite_signal,2.0,7.5,0.26666666666666666,3
61,short,2026-03-18T05:00:00Z,2026-03-18T05:05:00Z,Wednesday,5,25144.75,25147.5,2026-03-18T05:10:00Z,Wednesday,5,25147.5,stop,-2.75,2.75,-1.0,2
62,short,2026-03-18T05:55:00Z,2026-03-18T06:00:00Z,Wednesday,6,25168.75,25170.25,2026-03-18T06:00:00Z,Wednesday,6,25170.25,stop,-1.5,1.5,-1.0,1
63,long,2026-03-18T08:40:00Z,2026-03-18T08:45:00Z,Wednesday,8,25163.25,25157.5,2026-03-18T11:00:00Z,Wednesday,11,25157.5,stop,-5.75,5.75,-1.0,28
64,long,2026-03-19T10:50:00Z,2026-03-19T10:55:00Z,Thursday,10,24582.0,24575.25,2026-03-19T10:55:00Z,Thursday,10,24575.25,stop,-6.75,6.75,-1.0,1
65,short,2026-03-19T23:10:00Z,2026-03-19T23:15:00Z,Thursday,23,24634.0,24650.75,2026-03-20T01:35:00Z,Friday,1,24650.75,stop,-16.75,16.75,-1.0,29
66,long,2026-03-20T04:05:00Z,2026-03-20T04:10:00Z,Friday,4,24612.5,24611.0,2026-03-20T04:10:00Z,Friday,4,24611.0,stop,-1.5,1.5,-1.0,1
67,short,2026-03-23T09:00:00Z,2026-03-23T09:05:00Z,Monday,9,23915.5,23937.5,2026-03-23T09:05:00Z,Monday,9,23937.5,stop,-22.0,22.0,-1.0,1
68,long,2026-03-23T16:30:00Z,2026-03-23T16:35:00Z,Monday,16,24375.75,24311.5,2026-03-23T17:20:00Z,Monday,17,24311.5,stop,-64.25,64.25,-1.0,10
69,short,2026-03-23T18:45:00Z,2026-03-23T18:50:00Z,Monday,18,24522.5,24528.0,2026-03-24T16:45:00Z,Tuesday,16,24290.75,opposite_signal,231.75,5.5,42.13636363636363,251
70,short,2026-03-25T00:25:00Z,2026-03-25T00:30:00Z,Wednesday,0,24426.5,24440.0,2026-03-25T00:30:00Z,Wednesday,0,24440.0,stop,-13.5,13.5,-1.0,1
71,short,2026-03-25T05:10:00Z,2026-03-25T05:15:00Z,Wednesday,5,24423.0,24428.75,2026-03-25T08:00:00Z,Wednesday,8,24428.75,stop,-5.75,5.75,-1.0,34
72,short,2026-03-25T10:15:00Z,2026-03-25T10:20:00Z,Wednesday,10,24463.75,24473.25,2026-03-25T11:00:00Z,Wednesday,11,24473.25,stop,-9.5,9.5,-1.0,9
73,short,2026-03-30T05:15:00Z,2026-03-30T05:20:00Z,Monday,5,23348.5,23354.0,2026-03-30T05:20:00Z,Monday,5,23354.0,stop,-5.5,5.5,-1.0,1
74,short,2026-03-30T08:50:00Z,2026-03-30T08:55:00Z,Monday,8,23436.0,23442.0,2026-03-30T08:55:00Z,Monday,8,23442.0,stop,-6.0,6.0,-1.0,1
75,short,2026-03-31T14:35:00Z,2026-03-31T14:40:00Z,Tuesday,14,23519.5,23568.25,2026-03-31T16:35:00Z,Tuesday,16,23568.25,stop,-48.75,48.75,-1.0,24
76,short,2026-03-31T17:05:00Z,2026-03-31T17:10:00Z,Tuesday,17,23774.5,23842.5,2026-03-31T17:15:00Z,Tuesday,17,23842.5,stop,-68.0,68.0,-1.0,2
77,short,2026-04-01T07:45:00Z,2026-04-01T07:50:00Z,Wednesday,7,24128.0,24169.5,2026-04-01T11:35:00Z,Wednesday,11,24169.5,stop,-41.5,41.5,-1.0,46
78,short,2026-04-01T17:15:00Z,2026-04-01T17:20:00Z,Wednesday,17,24338.75,24346.75,2026-04-03T01:25:00Z,Friday,1,24217.75,opposite_signal,121.0,8.0,15.125,361
79,short,2026-04-06T01:40:00Z,2026-04-06T01:45:00Z,Monday,1,24221.75,24223.25,2026-04-06T01:45:00Z,Monday,1,24223.25,stop,-1.5,1.5,-1.0,1
80,short,2026-04-06T05:20:00Z,2026-04-06T05:25:00Z,Monday,5,24264.25,24266.25,2026-04-06T06:10:00Z,Monday,6,24266.25,stop,-2.0,2.0,-1.0,10
81,short,2026-04-06T06:20:00Z,2026-04-06T06:25:00Z,Monday,6,24245.25,24253.5,2026-04-06T06:50:00Z,Monday,6,24253.5,stop,-8.25,8.25,-1.0,6
82,short,2026-04-06T09:15:00Z,2026-04-06T09:20:00Z,Monday,9,24384.75,24388.0,2026-04-06T09:20:00Z,Monday,9,24388.0,stop,-3.25,3.25,-1.0,1
83,short,2026-04-06T12:00:00Z,2026-04-06T12:05:00Z,Monday,12,24301.0,24308.25,2026-04-06T12:05:00Z,Monday,12,24308.25,stop,-7.25,7.25,-1.0,1
84,long,2026-04-06T13:30:00Z,2026-04-06T13:35:00Z,Monday,13,24353.5,24264.0,2026-04-06T13:35:00Z,Monday,13,24264.0,stop,-89.5,89.5,-1.0,1
85,short,2026-04-07T20:55:00Z,2026-04-07T22:00:00Z,Tuesday,22,24490.0,24414.0,2026-04-07T22:00:00Z,Tuesday,22,24414.0,stop,76.0,76.0,1.0,1
86,long,2026-04-07T22:35:00Z,2026-04-07T22:40:00Z,Tuesday,22,24822.0,24640.5,2026-04-08T00:05:00Z,Wednesday,0,25041.0,opposite_signal,219.0,181.5,1.2066115702479339,18
87,short,2026-04-09T17:50:00Z,2026-04-09T17:55:00Z,Thursday,17,25228.5,25240.0,2026-04-09T19:30:00Z,Thursday,19,25240.0,stop,-11.5,11.5,-1.0,20
88,long,2026-04-10T03:40:00Z,2026-04-10T03:45:00Z,Friday,3,25291.75,25289.0,2026-04-10T03:45:00Z,Friday,3,25289.0,stop,-2.75,2.75,-1.0,1
89,long,2026-04-10T04:50:00Z,2026-04-10T04:55:00Z,Friday,4,25272.0,25268.5,2026-04-10T04:55:00Z,Friday,4,25268.5,stop,-3.5,3.5,-1.0,1
90,short,2026-04-13T10:40:00Z,2026-04-13T10:45:00Z,Monday,10,25118.75,25120.5,2026-04-13T10:45:00Z,Monday,10,25120.5,stop,-1.75,1.75,-1.0,1
91,short,2026-04-13T17:05:00Z,2026-04-13T17:10:00Z,Monday,17,25405.25,25422.0,2026-04-13T17:15:00Z,Monday,17,25422.0,stop,-16.75,16.75,-1.0,2
92,short,2026-04-14T15:00:00Z,2026-04-14T15:05:00Z,Tuesday,15,25783.25,25807.25,2026-04-14T15:15:00Z,Tuesday,15,25807.25,stop,-24.0,24.0,-1.0,3
93,short,2026-04-14T20:10:00Z,2026-04-14T20:15:00Z,Tuesday,20,25992.75,25993.5,2026-04-14T20:15:00Z,Tuesday,20,25993.5,stop,-0.75,0.75,-1.0,1
94,long,2026-04-14T22:05:00Z,2026-04-14T22:10:00Z,Tuesday,22,26008.0,25992.5,2026-04-14T22:20:00Z,Tuesday,22,26007.25,opposite_signal,-0.75,15.5,-0.04838709677419355,3
95,short,2026-04-15T02:00:00Z,2026-04-15T02:05:00Z,Wednesday,2,26034.75,26038.5,2026-04-15T05:00:00Z,Wednesday,5,26038.5,stop,-3.75,3.75,-1.0,35
96,short,2026-04-15T15:55:00Z,2026-04-15T16:00:00Z,Wednesday,16,26196.75,26208.5,2026-04-15T16:05:00Z,Wednesday,16,26208.5,stop,-11.75,11.75,-1.0,2
